scenario,eta,n_runs,va_mean,va_std,va_sem
none,0.0,2,0.9999921292139288,2.301586178399887e-06,1.6274671942317909e-06
none,0.6,2,0.9805712800302329,0.000769931392200784,0.0005444237084735736
none,1.2,2,0.9195541587777639,0.001110944093365788,0.0007855561019380896
none,1.8,2,0.8236976955859907,0.0016687420136992134,0.0011799787939376083
none,2.4,2,0.6997648174849455,0.0005668954314789145,0.00040085560382241425
none,3.0,2,0.5479091309528733,0.011586888246047963,0.008193167251631215
fixed,0.0,2,0.9934037283356216,0.0014097868689369102,0.0009968698550530397
fixed,0.6,2,0.9792979748450032,0.003078365086211532,0.002176732827428085
fixed,1.2,2,0.9172140536476387,0.005787414192765578,0.004092319821239809
fixed,1.8,2,0.8258723416966114,0.006957923472684414,0.0049199948705122
fixed,2.4,2,0.6914934285453695,0.010518661954394578,0.0074378171969613485
fixed,3.0,2,0.5035658562836524,0.011924035731853523,0.008431566525104323
circular,0.0,2,0.9907445421959091,0.0009793155158167326,0.0006924806421552132
circular,0.6,2,0.9749198449918107,0.003640240999610163,0.0025740390959776427
circular,1.2,2,0.9078333656755027,0.0025244720085179115,0.001785071276138639
circular,1.8,2,0.819484100385165,0.011646779721204144,0.008235516919849417
circular,2.4,2,0.6846226473049333,0.004302201988460963,0.0030421162000749953
circular,3.0,2,0.5377796018943964,0.014438823564878352,0.010209790055081602
