scenario,eta,n_runs,va_mean,va_std,va_sem
none,0.0,2,0.9999999395885775,8.543082290369001e-08,6.040871419754622e-08
none,1.0,2,0.9451942616864744,0.0011012947836770148,0.0007787330096233891
none,2.0,2,0.7739468467491235,0.010958154724063683,0.00774858551467683
none,3.0,2,0.539876385044971,0.037321893219357395,0.02639056378212784
none,4.0,2,0.21089222609298253,0.0581631823365572,0.04112758064556921
none,5.0,2,0.05850911196267474,0.003261419986914456,0.002306172189044553
none,6.0,2,0.045739266493868135,0.0015138660611329,0.001070464957635242
fixed,0.0,2,0.9984880275718073,0.0008131452531584157,0.0005749805225979676
fixed,1.0,2,0.9391552636291158,0.00430024216508108,0.0030407303956731524
fixed,2.0,2,0.7703389221727941,6.383036984174427e-05,4.5134887360742664e-05
fixed,3.0,2,0.5471262633641457,0.0011759615490033839,0.0008315303857149292
fixed,4.0,2,0.23628411304045083,0.06707370197852328,0.047428269508299356
fixed,5.0,2,0.06021607666572387,0.005450401650985531,0.003854015967602223
fixed,6.0,2,0.044552448434753256,0.001283122638806156,0.00090730471899381
circular,0.0,2,0.9936620309624933,0.00623712498567223,0.004410313372476882
circular,1.0,2,0.9362619904193585,0.00075231658970539,0.0005319681621798189
circular,2.0,2,0.7725296566306947,0.007206656609971281,0.005095875758593548
circular,3.0,2,0.5492764147774184,0.029007938631920305,0.020511710114874068
circular,4.0,2,0.2258434752444332,0.0010988368619876832,0.0007769949965292372
circular,5.0,2,0.061242775605629865,0.004981262187568929,0.003522284271698126
circular,6.0,2,0.04542114484850035,0.00031358325868076077,0.00022173684867974122
