scenario,eta,n_runs,va_mean,va_std,va_sem
none,0.0,2,0.9984486343733467,0.0021939623084148334,0.0015513656259478201
none,1.0,2,0.9222996007333052,0.021792008427402403,0.01540927693469063
none,2.0,2,0.6990493587064053,0.031076216069374586,0.021974203116273128
none,3.0,2,0.36062133791111417,0.05982526784611197,0.042302852580287285
none,4.0,2,0.12927215900952765,0.0021402271736222465,0.0015133691477480088
none,5.0,2,0.07740339941792435,0.0012304398304856666,0.0008700523479784408
none,6.0,2,0.06410042484022024,3.5015784929690814e-05,2.475989897235409e-05
fixed,0.0,2,0.9895255011024212,0.014688265361003702,0.010386172040633189
fixed,1.0,2,0.9045561658153514,0.002781020825697788,0.0019664786844719173
fixed,2.0,2,0.7269263148236398,0.0518893692156807,0.03669132484390031
fixed,3.0,2,0.4024884121820623,0.12644506413363166,0.08941016229645884
fixed,4.0,2,0.14674510209380812,0.051256999188216516,0.03624417170926126
fixed,5.0,2,0.07310130449582436,0.0029692487439864483,0.0020995759219024565
fixed,6.0,2,0.06314015864962477,0.0008074796674011443,0.0005709743484896071
circular,0.0,2,0.9731221983607186,0.012601013920349654,0.008910262392905322
circular,1.0,2,0.8784531671648225,0.03187244501272455,0.022537222001492885
circular,2.0,2,0.7231400949598863,0.06798787813773782,0.04807468966967903
circular,3.0,2,0.40889422277494364,0.09079287196695295,0.06420025545123442
circular,4.0,2,0.14725247717797296,0.01158010283143215,0.008188369238943213
circular,5.0,2,0.07687025879349263,0.0024567398080191185,0.0017371773778612554
circular,6.0,2,0.06162521146784522,0.0004377935738173171,0.00030956680480611823
