# t theta_S theta_L C
159 6.26764517 0.78539816 0.69603331
160 6.26462836 0.78539816 0.69386404
161 6.22972688 0.78539816 0.66831382
162 6.22382903 0.78539816 0.66391494
163 6.20618303 0.78539816 0.65061643
164 6.22428985 0.78539816 0.66425947
165 6.22964943 0.78539816 0.66825621
166 6.23945540 0.78539816 0.67551893
167 6.25591524 0.78539816 0.68756342
168 6.24372158 0.78539816 0.67865840
169 6.23970992 0.78539816 0.67570657
170 6.25286070 0.78539816 0.68534223
171 6.24107056 0.78539816 0.67670897
172 6.23996798 0.78539816 0.67589678
173 6.25302892 0.78539816 0.68546473
174 6.26088579 0.78539816 0.69116414
175 6.27658746 0.78539816 0.70242604
176 0.00339423 0.78539816 0.70950279
177 0.01574774 0.78539816 0.71815398
178 0.02761338 0.78539816 0.72636034
179 0.02795567 0.78539816 0.72659556
180 0.03769840 0.78539816 0.73325486
181 0.05725546 0.78539816 0.74641169
182 0.06610677 0.78539816 0.75227279
183 0.06610389 0.78539816 0.75227089
184 0.07487705 0.78539816 0.75802209
185 0.05554586 0.78539816 0.74527289
186 0.06760634 0.78539816 0.75325993
187 0.06930667 0.78539816 0.75437719
188 0.06039038 0.78539816 0.74849426
189 0.02960453 0.78539816 0.72772745
190 0.02531925 0.78539816 0.72478164
191 0.02627942 0.78539816 0.72544285
192 0.02511687 0.78539816 0.72464220
193 0.01495884 0.78539816 0.71760477
194 0.02600307 0.78539816 0.72525261
195 0.02714566 0.78539816 0.72603879
196 0.04426125 0.78539816 0.73770148
197 0.01878439 0.78539816 0.72026382
198 0.00273435 0.78539816 0.70903762
199 6.27133252 0.78539816 0.69867612
200 0.00757899 0.78539816 0.71244558
201 0.00574215 0.78539816 0.71115542
202 0.02685635 0.78539816 0.72583982
203 0.01986906 0.78539816 0.72101584
204 0.02084098 0.78539816 0.72168895
205 0.01788304 0.78539816 0.71963826
206 0.02781868 0.78539816 0.72650143
207 0.01185141 0.78539816 0.71543714
208 0.02586956 0.78539816 0.72516069
209 0.01627091 0.78539816 0.71851795
210 0.00923327 0.78539816 0.71360546
211 6.27401560 0.78539816 0.70059318
212 6.27180606 0.78539816 0.69901483
213 0.00406052 0.78539816 0.70997216
214 0.00123030 0.78539816 0.70797620
215 6.28167273 0.78539816 0.70603642
216 0.00556826 0.78539816 0.71103316
217 0.00131546 0.78539816 0.70803634
218 0.01052663 0.78539816 0.71451092
219 6.27984881 0.78539816 0.70474359
220 6.27691645 0.78539816 0.70266016
221 6.28152288 0.78539816 0.70593029
222 6.27958788 0.78539816 0.70455845
223 0.00162054 0.78539816 0.70825175
224 6.28199251 0.78539816 0.70626284
225 0.00989103 0.78539816 0.71406610
226 0.00032557 0.78539816 0.70733696
227 0.00446641 0.78539816 0.71025795
228 0.01318241 0.78539816 0.71636644
229 0.00717761 0.78539816 0.71216386
230 0.03461143 0.78539816 0.73115237
231 0.01763156 0.78539816 0.71946362
232 0.01158080 0.78539816 0.71524805
233 6.26086612 0.78539816 0.69114993
234 6.27043912 0.78539816 0.69803667
235 6.25766275 0.78539816 0.68883128
236 6.27627227 0.78539816 0.70220167
237 0.02052155 0.78539816 0.72146780
238 0.02328336 0.78539816 0.72337746
239 0.06447295 0.78539816 0.75119533
240 0.06281862 0.78539816 0.75010232
241 0.06376035 0.78539816 0.75072477
242 0.08443337 0.78539816 0.76422030
243 0.09068645 0.78539816 0.76823828
244 0.08611659 0.78539816 0.76530481
245 0.10419458 0.78539816 0.77681535
246 0.07836131 0.78539816 0.76029002
247 0.06547256 0.78539816 0.75185479
248 0.06440040 0.78539816 0.75114745
249 0.06792266 0.78539816 0.75346795
250 0.05604643 0.78539816 0.74560655
251 0.05947672 0.78539816 0.74788807
252 0.05468913 0.78539816 0.74470138
253 0.06968673 0.78539816 0.75462662
254 0.08636886 0.78539816 0.76546717
255 0.09546726 0.78539816 0.77129000
256 0.07747101 0.78539816 0.75971140
257 0.09450862 0.78539816 0.77067948
258 0.10342849 0.78539816 0.77633270
259 0.10139597 0.78539816 0.77504995
260 0.12363988 0.78539816 0.78891298
261 0.12094741 0.78539816 0.78725559
262 0.12025913 0.78539816 0.78683099
263 0.11327724 0.78539816 0.78250284
264 0.11199340 0.78539816 0.78170282
265 0.10594283 0.78539816 0.77791509
266 0.11099095 0.78539816 0.78107725
267 0.11980007 0.78539816 0.78654759
268 0.10387849 0.78539816 0.77661626
269 0.07827882 0.78539816 0.76023643
270 0.08623209 0.78539816 0.76537915
271 0.08965370 0.78539816 0.76757675
272 0.10530140 0.78539816 0.77751187
273 0.12031300 0.78539816 0.78686423
274 0.12956024 0.78539816 0.79253722
275 0.11174564 0.78539816 0.78154828
276 0.11581644 0.78539816 0.78408134
277 0.12909621 0.78539816 0.79225416
278 0.14185631 0.78539816 0.79997555
279 0.14613234 0.78539816 0.80253399
280 0.15739258 0.78539816 0.80920090
281 0.12542758 0.78539816 0.79001026
282 0.13097673 0.78539816 0.79340024
283 0.12696299 0.78539816 0.79095068
284 0.12682079 0.78539816 0.79086367
285 0.11999190 0.78539816 0.78666603
286 0.12797865 0.78539816 0.79157174
287 0.12669576 0.78539816 0.79078715
